"id_municipio";"empregos_agro"
1100015;360
1100023;995
1100031;158
1100049;506
1100056;205
1100064;178
1100072;685
1100080;92
1100098;428
1100106;64
1100114;353
1100122;596
1100130;204
1100148;66
1100155;283
1100189;603
1100205;1150
1100254;199
1100262;288
1100288;347
1100296;283
1100304;1325
1100320;200
1100338;123
1100346;112
1100379;120
1100403;142
1100452;149
1100502;47
1100601;107
1100700;157
1100809;341
1100908;144
1100924;880
1100940;173
1101005;49
1101104;114
1101203;40
1101302;49
1101401;157
1101435;20
1101450;322
1101468;294
1101476;70
1101484;94
1101492;246
1101500;79
1101559;12
1101609;203
1101708;39
1101757;41
1101807;62
1200013;94
1200054;4
1200104;61
1200138;268
1200179;125
1200203;90
1200252;13
1200302;44
1200336;19
1200344;6
1200351;1
1200385;129
1200401;1147
1200427;2
1200450;525
1200500;245
1200609;119
1200708;189
1200807;190
1300029;1
1300144;7
1300300;10
1300706;371
1300904;26
1301001;10
1301100;4
1301209;4
1301506;2
1301654;7
1301704;29
1301803;1
1301852;156
1301902;183
1302405;108
1302504;95
1302603;1155
1302702;41
1302900;16
1303304;3
1303536;888
1303569;170
1303809;1
1304203;1
1304302;4
1400027;95
1400050;101
1400100;483
1400159;372
1400175;72
1400209;72
1400233;28
1400282;24
1400308;127
1400407;42
1400456;16
1400472;197
1400506;10
1400605;13
1500107;246
1500131;95
1500206;1180
1500347;690
1500404;15
1500503;267
1500602;450
1500800;2146
1500859;50
1500909;16
1500958;211
1501006;41
1501204;63
1501253;355
1501303;18
1501402;1026
1501451;545
1501501;387
1501576;286
1501600;45
1501709;80
1501725;36
1501758;160
1501782;387
1501907;54
1501956;14
1502004;38
1502152;266
1502202;233
1502301;578
1502400;643
1502509;153
1502608;1
1502707;273
1502756;1091
1502764;1275
1502772;446
1502905;68
1502939;901
1502954;90
1503044;215
1503077;41
1503093;347
1503200;532
1503309;10
1503408;127
1503457;371
1503507;89
1503606;143
1503705;375
1503754;60
1503804;155
1503903;94
1504059;192
1504109;4
1504208;1130
1504307;63
1504406;33
1504422;3
1504455;81
1504604;3
1504703;3225
1504752;60
