"cod_muni";"muni";"var1";"var2";"tipo_estab";"qtd_medios_estabelecimentos"
"1100015";"Alta Floresta D'Oeste (RO)";"Total";"Total";"De 200 a menos de 500 ha";"173"
"1100015";"Alta Floresta D'Oeste (RO)";"Total";"Total";"De 500 a menos de 1.000 ha";"69"
"1100023";"Ariquemes (RO)";"Total";"Total";"De 200 a menos de 500 ha";"235"
"1100023";"Ariquemes (RO)";"Total";"Total";"De 500 a menos de 1.000 ha";"66"
"1100031";"Cabixi (RO)";"Total";"Total";"De 200 a menos de 500 ha";"47"
"1100031";"Cabixi (RO)";"Total";"Total";"De 500 a menos de 1.000 ha";"17"
"1100049";"Cacoal (RO)";"Total";"Total";"De 200 a menos de 500 ha";"133"
"1100049";"Cacoal (RO)";"Total";"Total";"De 500 a menos de 1.000 ha";"33"
"1100056";"Cerejeiras (RO)";"Total";"Total";"De 200 a menos de 500 ha";"50"
"1100056";"Cerejeiras (RO)";"Total";"Total";"De 500 a menos de 1.000 ha";"32"
"1100064";"Colorado do Oeste (RO)";"Total";"Total";"De 200 a menos de 500 ha";"86"
"1100064";"Colorado do Oeste (RO)";"Total";"Total";"De 500 a menos de 1.000 ha";"24"
"1100072";"Corumbiara (RO)";"Total";"Total";"De 200 a menos de 500 ha";"41"
"1100072";"Corumbiara (RO)";"Total";"Total";"De 500 a menos de 1.000 ha";"13"
"1100080";"Costa Marques (RO)";"Total";"Total";"De 200 a menos de 500 ha";"161"
"1100080";"Costa Marques (RO)";"Total";"Total";"De 500 a menos de 1.000 ha";"46"
"1100098";"Espigão D'Oeste (RO)";"Total";"Total";"De 200 a menos de 500 ha";"128"
"1100098";"Espigão D'Oeste (RO)";"Total";"Total";"De 500 a menos de 1.000 ha";"54"
"1100106";"Guajará-Mirim (RO)";"Total";"Total";"De 200 a menos de 500 ha";"57"
"1100106";"Guajará-Mirim (RO)";"Total";"Total";"De 500 a menos de 1.000 ha";"19"
"1100114";"Jaru (RO)";"Total";"Total";"De 200 a menos de 500 ha";"149"
"1100114";"Jaru (RO)";"Total";"Total";"De 500 a menos de 1.000 ha";"37"
"1100122";"Ji-Paraná (RO)";"Total";"Total";"De 200 a menos de 500 ha";"143"
"1100122";"Ji-Paraná (RO)";"Total";"Total";"De 500 a menos de 1.000 ha";"30"
"1100130";"Machadinho D'Oeste (RO)";"Total";"Total";"De 200 a menos de 500 ha";"142"
"1100130";"Machadinho D'Oeste (RO)";"Total";"Total";"De 500 a menos de 1.000 ha";"36"
"1100148";"Nova Brasilândia D'Oeste (RO)";"Total";"Total";"De 200 a menos de 500 ha";"65"
"1100148";"Nova Brasilândia D'Oeste (RO)";"Total";"Total";"De 500 a menos de 1.000 ha";"17"
"1100155";"Ouro Preto do Oeste (RO)";"Total";"Total";"De 200 a menos de 500 ha";"101"
"1100155";"Ouro Preto do Oeste (RO)";"Total";"Total";"De 500 a menos de 1.000 ha";"29"
"1100189";"Pimenta Bueno (RO)";"Total";"Total";"De 200 a menos de 500 ha";"112"
"1100189";"Pimenta Bueno (RO)";"Total";"Total";"De 500 a menos de 1.000 ha";"64"
"1100205";"Porto Velho (RO)";"Total";"Total";"De 200 a menos de 500 ha";"358"
"1100205";"Porto Velho (RO)";"Total";"Total";"De 500 a menos de 1.000 ha";"115"
"1100254";"Presidente Médici (RO)";"Total";"Total";"De 200 a menos de 500 ha";"71"
"1100254";"Presidente Médici (RO)";"Total";"Total";"De 500 a menos de 1.000 ha";"20"
"1100262";"Rio Crespo (RO)";"Total";"Total";"De 200 a menos de 500 ha";"64"
"1100262";"Rio Crespo (RO)";"Total";"Total";"De 500 a menos de 1.000 ha";"20"
"1100288";"Rolim de Moura (RO)";"Total";"Total";"De 200 a menos de 500 ha";"109"
"1100288";"Rolim de Moura (RO)";"Total";"Total";"De 500 a menos de 1.000 ha";"19"
"1100296";"Santa Luzia D'Oeste (RO)";"Total";"Total";"De 200 a menos de 500 ha";"24"
"1100296";"Santa Luzia D'Oeste (RO)";"Total";"Total";"De 500 a menos de 1.000 ha";"14"
"1100304";"Vilhena (RO)";"Total";"Total";"De 200 a menos de 500 ha";"80"
"1100304";"Vilhena (RO)";"Total";"Total";"De 500 a menos de 1.000 ha";"40"
"1100320";"São Miguel do Guaporé (RO)";"Total";"Total";"De 200 a menos de 500 ha";"66"
"1100320";"São Miguel do Guaporé (RO)";"Total";"Total";"De 500 a menos de 1.000 ha";"40"
"1100338";"Nova Mamoré (RO)";"Total";"Total";"De 200 a menos de 500 ha";"160"
"1100338";"Nova Mamoré (RO)";"Total";"Total";"De 500 a menos de 1.000 ha";"46"
"1100346";"Alvorada D'Oeste (RO)";"Total";"Total";"De 200 a menos de 500 ha";"93"
"1100346";"Alvorada D'Oeste (RO)";"Total";"Total";"De 500 a menos de 1.000 ha";"27"
"1100379";"Alto Alegre dos Parecis (RO)";"Total";"Total";"De 200 a menos de 500 ha";"79"
"1100379";"Alto Alegre dos Parecis (RO)";"Total";"Total";"De 500 a menos de 1.000 ha";"26"
"1100403";"Alto Paraíso (RO)";"Total";"Total";"De 200 a menos de 500 ha";"135"
"1100403";"Alto Paraíso (RO)";"Total";"Total";"De 500 a menos de 1.000 ha";"32"
"1100452";"Buritis (RO)";"Total";"Total";"De 200 a menos de 500 ha";"195"
"1100452";"Buritis (RO)";"Total";"Total";"De 500 a menos de 1.000 ha";"48"
"1100502";"Novo Horizonte do Oeste (RO)";"Total";"Total";"De 200 a menos de 500 ha";"35"
"1100502";"Novo Horizonte do Oeste (RO)";"Total";"Total";"De 500 a menos de 1.000 ha";"8"
"1100601";"Cacaulândia (RO)";"Total";"Total";"De 200 a menos de 500 ha";"144"
"1100601";"Cacaulândia (RO)";"Total";"Total";"De 500 a menos de 1.000 ha";"53"
"1100700";"Campo Novo de Rondônia (RO)";"Total";"Total";"De 200 a menos de 500 ha";"121"
