"Cód.";"Município";"Grupos de área total";"Arroz em casca";"Milho em grão";"Soja em grão"
"1100015";"Alta Floresta D'Oeste (RO)";"De 200 a menos de 500 ha";"-";"30";"-"
"1100015";"Alta Floresta D'Oeste (RO)";"De 500 a menos de 1.000 ha";"-";"76";"X"
"1100015";"Alta Floresta D'Oeste (RO)";"De 1.000 a menos de 2.500 ha";"-";"X";"X"
"1100015";"Alta Floresta D'Oeste (RO)";"De 2.500 a menos de 10.000 ha";"-";"1634";"X"
"1100015";"Alta Floresta D'Oeste (RO)";"De 10.000 ha e mais";"-";"-";"-"
"1100023";"Ariquemes (RO)";"De 200 a menos de 500 ha";"X";"255";"2164"
"1100023";"Ariquemes (RO)";"De 500 a menos de 1.000 ha";"-";"-";"X"
"1100023";"Ariquemes (RO)";"De 1.000 a menos de 2.500 ha";"-";"X";"X"
"1100023";"Ariquemes (RO)";"De 2.500 a menos de 10.000 ha";"-";"-";"-"
"1100023";"Ariquemes (RO)";"De 10.000 ha e mais";"-";"-";"-"
"1100031";"Cabixi (RO)";"De 200 a menos de 500 ha";"-";"4328";"10248"
"1100031";"Cabixi (RO)";"De 500 a menos de 1.000 ha";"-";"4516";"7354"
"1100031";"Cabixi (RO)";"De 1.000 a menos de 2.500 ha";"X";"X";"X"
"1100031";"Cabixi (RO)";"De 2.500 a menos de 10.000 ha";"-";"-";"X"
"1100031";"Cabixi (RO)";"De 10.000 ha e mais";"X";"X";"X"
"1100049";"Cacoal (RO)";"De 200 a menos de 500 ha";"-";"X";"X"
"1100049";"Cacoal (RO)";"De 500 a menos de 1.000 ha";"-";"X";"X"
"1100049";"Cacoal (RO)";"De 1.000 a menos de 2.500 ha";"-";"-";"-"
"1100049";"Cacoal (RO)";"De 2.500 a menos de 10.000 ha";"-";"-";"-"
"1100049";"Cacoal (RO)";"De 10.000 ha e mais";"-";"-";"-"
"1100056";"Cerejeiras (RO)";"De 200 a menos de 500 ha";"X";"4636";"X"
"1100056";"Cerejeiras (RO)";"De 500 a menos de 1.000 ha";"X";"12792";"44205"
"1100056";"Cerejeiras (RO)";"De 1.000 a menos de 2.500 ha";"1319";"8411";"25022"
"1100056";"Cerejeiras (RO)";"De 2.500 a menos de 10.000 ha";"-";"X";"X"
"1100056";"Cerejeiras (RO)";"De 10.000 ha e mais";"-";"-";"-"
"1100064";"Colorado do Oeste (RO)";"De 200 a menos de 500 ha";"-";"X";"X"
"1100064";"Colorado do Oeste (RO)";"De 500 a menos de 1.000 ha";"-";"X";"X"
"1100064";"Colorado do Oeste (RO)";"De 1.000 a menos de 2.500 ha";"-";"X";"-"
"1100064";"Colorado do Oeste (RO)";"De 2.500 a menos de 10.000 ha";"-";"-";"-"
"1100064";"Colorado do Oeste (RO)";"De 10.000 ha e mais";"-";"-";"-"
"1100072";"Corumbiara (RO)";"De 200 a menos de 500 ha";"X";"3754";"5771"
"1100072";"Corumbiara (RO)";"De 500 a menos de 1.000 ha";"X";"4370";"X"
"1100072";"Corumbiara (RO)";"De 1.000 a menos de 2.500 ha";"X";"3869";"15431"
"1100072";"Corumbiara (RO)";"De 2.500 a menos de 10.000 ha";"-";"26138";"95659"
"1100072";"Corumbiara (RO)";"De 10.000 ha e mais";"-";"X";"X"
