"","cod_muni","muni","pessoal_ocupado_agro","pessoal_ocupado_agro_familiar","perc_familiar_sobre_agro","class_familiar_sobre_agro"
"1",1502103,"Cametá (PA)",48246,42872,0.89,"Alto"
"2",1500107,"Abaetetuba (PA)",32227,29379,0.91,"Muito Alto"
"3",1506807,"Santarém (PA)",25288,21331,0.84,"Médio Alto"
"4",1504703,"Moju (PA)",23091,18370,0.8,"Médio Alto"
"5",1500206,"Acará (PA)",19330,17831,0.92,"Muito Alto"
"6",1500404,"Alenquer (PA)",24238,17301,0.71,"Médio Baixo"
"7",1507300,"São Félix do Xingu (PA)",22521,17171,0.76,"Médio Baixo"
"8",1501808,"Breves (PA)",16659,15303,0.92,"Muito Alto"
"9",1505486,"Pacajá (PA)",17282,14533,0.84,"Médio Alto"
"10",1303809,"São Gabriel da Cachoeira (AM)",14476,14400,0.99,"Muito Alto"
"11",1505064,"Novo Repartimento (PA)",15524,13947,0.9,"Alto"
"12",1504208,"Marabá (PA)",16460,13625,0.83,"Médio Alto"
"13",1100205,"Porto Velho (RO)",16985,13482,0.79,"Médio Alto"
"14",1508308,"Viseu (PA)",16240,13285,0.82,"Médio Alto"
"15",1501709,"Bragança (PA)",17408,13072,0.75,"Médio Baixo"
"16",1500909,"Augusto Corrêa (PA)",14588,12806,0.88,"Alto"
"17",1504000,"Limoeiro do Ajuru (PA)",14121,12029,0.85,"Alto"
"18",1500305,"Afuá (PA)",12128,11786,0.97,"Muito Alto"
"19",1505205,"Oeiras do Pará (PA)",12222,11640,0.95,"Muito Alto"
"20",1503309,"Igarapé-Miri (PA)",14786,11205,0.76,"Médio Baixo"
"21",1500602,"Altamira (PA)",13962,10882,0.78,"Médio Alto"
"22",1503705,"Itupiranga (PA)",13382,10838,0.81,"Médio Alto"
"23",1200302,"Feijó (AC)",12276,10649,0.87,"Alto"
"24",1504802,"Monte Alegre (PA)",13415,10540,0.79,"Médio Alto"
"25",1100130,"Machadinho D'Oeste (RO)",11820,10518,0.89,"Alto"
"26",2103307,"Codó (MA)",12288,10447,0.85,"Alto"
"27",1200401,"Rio Branco (AC)",14004,10442,0.75,"Médio Baixo"
"28",1502806,"Curralinho (PA)",11865,10424,0.88,"Alto"
"29",1505304,"Oriximiná (PA)",10496,9990,0.95,"Muito Alto"
"30",1505106,"Óbidos (PA)",11811,9903,0.84,"Médio Alto"
"31",1303403,"Parintins (AM)",11422,9474,0.83,"Médio Alto"
"32",1508159,"Uruará (PA)",11284,9183,0.81,"Médio Alto"
"33",5103254,"Colniza (MT)",11096,9103,0.82,"Médio Alto"
"34",1507201,"São Domingos do Capim (PA)",9760,9059,0.93,"Muito Alto"
"35",1200203,"Cruzeiro do Sul (AC)",9421,8703,0.92,"Muito Alto"
"36",1501303,"Barcarena (PA)",9453,8663,0.92,"Muito Alto"
"37",2104800,"Grajaú (MA)",12919,8654,0.67,"Baixo"
"38",1502707,"Conceição do Araguaia (PA)",10171,8620,0.85,"Alto"
"39",1200609,"Tarauacá (AC)",10120,8502,0.84,"Médio Alto"
"40",1302405,"Lábrea (AM)",9397,8501,0.9,"Alto"
"41",1508035,"Tracuateua (PA)",10804,8480,0.78,"Médio Alto"
"42",1304062,"Tabatinga (AM)",8779,8470,0.96,"Muito Alto"
"43",1300300,"Autazes (AM)",10047,8469,0.84,"Médio Alto"
"44",1302702,"Manicoré (AM)",10836,8445,0.78,"Médio Alto"
"45",2103000,"Caxias (MA)",10410,8401,0.81,"Médio Alto"
"46",1504455,"Medicilândia (PA)",13078,8361,0.64,"Baixo"
"47",1301209,"Coari (AM)",8782,8310,0.95,"Muito Alto"
"48",1100049,"Cacoal (RO)",9410,8198,0.87,"Alto"
"49",1200500,"Sena Madureira (AC)",10404,8165,0.78,"Médio Alto"
"50",1501204,"Baião (PA)",12258,8040,0.66,"Baixo"
"51",1300706,"Boca do Acre (AM)",9425,8008,0.85,"Alto"
"52",1504901,"Muaná (PA)",9645,7823,0.81,"Médio Alto"
"53",1508001,"Tomé-Açu (PA)",10046,7780,0.77,"Médio Alto"
