"","cod_muni","muni","total_medios_estab","class_total_medios_estab","total_grandes_estab","class_total_grandes_estab","medios_e_grandes_estab","class_medios_e_grandes_estab"
"1",1100015,"Alta Floresta D'Oeste (RO)",242,"Muito Alto",63,"Alto",305,"Muito Alto"
"2",1100023,"Ariquemes (RO)",301,"Muito Alto",57,"Alto",358,"Muito Alto"
"3",1100031,"Cabixi (RO)",64,"Médio Alto",11,"Médio Baixo",75,"Médio Baixo"
"4",1100049,"Cacoal (RO)",166,"Alto",21,"Médio Alto",187,"Alto"
"5",1100056,"Cerejeiras (RO)",82,"Médio Alto",20,"Médio Alto",102,"Médio Alto"
"6",1100064,"Colorado do Oeste (RO)",110,"Alto",15,"Médio Baixo",125,"Médio Alto"
"7",1100072,"Corumbiara (RO)",54,"Médio Alto",42,"Alto",96,"Médio Alto"
"8",1100080,"Costa Marques (RO)",207,"Muito Alto",28,"Médio Alto",235,"Alto"
"9",1100098,"Espigão D'Oeste (RO)",182,"Alto",48,"Alto",230,"Alto"
"10",1100106,"Guajará-Mirim (RO)",76,"Médio Alto",12,"Médio Baixo",88,"Médio Alto"
"11",1100114,"Jaru (RO)",186,"Alto",14,"Médio Baixo",200,"Alto"
"12",1100122,"Ji-Paraná (RO)",173,"Alto",22,"Médio Alto",195,"Alto"
"13",1100130,"Machadinho D'Oeste (RO)",178,"Alto",27,"Médio Alto",205,"Alto"
"14",1100148,"Nova Brasilândia D'Oeste (RO)",82,"Médio Alto",14,"Médio Baixo",96,"Médio Alto"
"15",1100155,"Ouro Preto do Oeste (RO)",130,"Alto",4,"Baixo",134,"Médio Alto"
"16",1100189,"Pimenta Bueno (RO)",176,"Alto",63,"Alto",239,"Alto"
"17",1100205,"Porto Velho (RO)",473,"Muito Alto",87,"Muito Alto",560,"Muito Alto"
"18",1100254,"Presidente Médici (RO)",91,"Médio Alto",7,"Médio Baixo",98,"Médio Alto"
"19",1100262,"Rio Crespo (RO)",84,"Médio Alto",27,"Médio Alto",111,"Médio Alto"
"20",1100288,"Rolim de Moura (RO)",128,"Alto",6,"Médio Baixo",134,"Médio Alto"
"21",1100296,"Santa Luzia D'Oeste (RO)",38,"Médio Baixo",16,"Médio Alto",54,"Médio Baixo"
"22",1100304,"Vilhena (RO)",120,"Alto",61,"Alto",181,"Alto"
"23",1100320,"São Miguel do Guaporé (RO)",106,"Médio Alto",29,"Médio Alto",135,"Médio Alto"
