"","cod_muni","muni","qtd_cabecas_de_gado_2019","class_gado_2019"
"1",1100015,"Alta Floresta D'Oeste (RO)",428976,"Muito Alto"
"2",1100023,"Ariquemes (RO)",477665,"Muito Alto"
"3",1100031,"Cabixi (RO)",121798,"Médio Alto"
"4",1100049,"Cacoal (RO)",432640,"Muito Alto"
"5",1100056,"Cerejeiras (RO)",89884,"Médio Alto"
"6",1100064,"Colorado do Oeste (RO)",255696,"Alto"
"7",1100072,"Corumbiara (RO)",324898,"Muito Alto"
"8",1100080,"Costa Marques (RO)",253226,"Alto"
"9",1100098,"Espigão D'Oeste (RO)",389774,"Muito Alto"
"10",1100106,"Guajará-Mirim (RO)",128580,"Médio Alto"
"11",1100114,"Jaru (RO)",517149,"Muito Alto"
"12",1100122,"Ji-Paraná (RO)",391649,"Muito Alto"
"13",1100130,"Machadinho D'Oeste (RO)",389409,"Muito Alto"
"14",1100148,"Nova Brasilândia D'Oeste (RO)",219631,"Alto"
"15",1100155,"Ouro Preto do Oeste (RO)",356573,"Muito Alto"
"16",1100189,"Pimenta Bueno (RO)",304879,"Alto"
"17",1100205,"Porto Velho (RO)",1141763,"Muito Alto"
"18",1100254,"Presidente Médici (RO)",337316,"Muito Alto"
"19",1100262,"Rio Crespo (RO)",124462,"Médio Alto"
"20",1100288,"Rolim de Moura (RO)",238803,"Alto"
"21",1100296,"Santa Luzia D'Oeste (RO)",173169,"Alto"
"22",1100304,"Vilhena (RO)",132312,"Médio Alto"
"23",1100320,"São Miguel do Guaporé (RO)",252173,"Alto"
"24",1100338,"Nova Mamoré (RO)",730528,"Muito Alto"
"25",1100346,"Alvorada D'Oeste (RO)",260560,"Alto"
"26",1100379,"Alto Alegre dos Parecis (RO)",208256,"Alto"
"27",1100403,"Alto Paraíso (RO)",316074,"Muito Alto"
"28",1100452,"Buritis (RO)",516674,"Muito Alto"
"29",1100502,"Novo Horizonte do Oeste (RO)",147395,"Alto"
"30",1100601,"Cacaulândia (RO)",266424,"Alto"
"31",1100700,"Campo Novo de Rondônia (RO)",436781,"Muito Alto"
"32",1100809,"Candeias do Jamari (RO)",243416,"Alto"
"33",1100908,"Castanheiras (RO)",110348,"Médio Alto"
"34",1100924,"Chupinguaia (RO)",344137,"Muito Alto"
"35",1100940,"Cujubim (RO)",212325,"Alto"
"36",1101005,"Governador Jorge Teixeira (RO)",274933,"Alto"
"37",1101104,"Itapuã do Oeste (RO)",94892,"Médio Alto"
"38",1101203,"Ministro Andreazza (RO)",127192,"Médio Alto"
"39",1101302,"Mirante da Serra (RO)",124997,"Médio Alto"
"40",1101401,"Monte Negro (RO)",302911,"Alto"
"41",1101435,"Nova União (RO)",145648,"Alto"
"42",1101450,"Parecis (RO)",185513,"Alto"
"43",1101468,"Pimenteiras do Oeste (RO)",114046,"Médio Alto"
"44",1101476,"Primavera de Rondônia (RO)",76120,"Médio Alto"
"45",1101484,"São Felipe D'Oeste (RO)",107922,"Médio Alto"
"46",1101492,"São Francisco do Guaporé (RO)",444048,"Muito Alto"
"47",1101500,"Seringueiras (RO)",204612,"Alto"
"48",1101559,"Teixeirópolis (RO)",100129,"Médio Alto"
"49",1101609,"Theobroma (RO)",274396,"Alto"
"50",1101708,"Urupá (RO)",171547,"Alto"
