"","cod_muni","muni","arroz_em_casca_1","milho_em_grao_1","soja_em_grao_1","valor_producao","class_valor_producao"
"1",1100015,"Alta Floresta D'Oeste (RO)",0,1740,0,1740,"Médio Alto"
"2",1100023,"Ariquemes (RO)",0,255,2164,2419,"Médio Alto"
"3",1100031,"Cabixi (RO)",0,8844,17602,26446,"Médio Alto"
"4",1100056,"Cerejeiras (RO)",1319,25839,69227,96385,"Alto"
"5",1100072,"Corumbiara (RO)",0,38131,116861,154992,"Alto"
"6",1100080,"Costa Marques (RO)",0,43,0,43,"Baixo"
"7",1100114,"Jaru (RO)",0,74,0,74,"Médio Baixo"
"8",1100122,"Ji-Paraná (RO)",0,26,0,26,"Baixo"
"9",1100205,"Porto Velho (RO)",0,339,0,339,"Médio Baixo"
"10",1100254,"Presidente Médici (RO)",0,70,0,70,"Médio Baixo"
"11",1100262,"Rio Crespo (RO)",0,0,6236,6236,"Médio Alto"
"12",1100288,"Rolim de Moura (RO)",0,599,0,599,"Médio Baixo"
"13",1100296,"Santa Luzia D'Oeste (RO)",0,4508,0,4508,"Médio Alto"
"14",1100304,"Vilhena (RO)",0,33113,96323,129436,"Alto"
"15",1100320,"São Miguel do Guaporé (RO)",12243,1635,17822,31700,"Médio Alto"
"16",1100379,"Alto Alegre dos Parecis (RO)",0,132,0,132,"Médio Baixo"
"17",1100403,"Alto Paraíso (RO)",0,35,2396,2431,"Médio Alto"
"18",1100452,"Buritis (RO)",0,15,0,15,"Muito Baixo"
"19",1100601,"Cacaulândia (RO)",0,81,0,81,"Médio Baixo"
"20",1100700,"Campo Novo de Rondônia (RO)",0,10,0,10,"Muito Baixo"
"21",1100924,"Chupinguaia (RO)",0,11881,22966,34847,"Alto"
"22",1101468,"Pimenteiras do Oeste (RO)",0,14612,30122,44734,"Alto"
"23",1101492,"São Francisco do Guaporé (RO)",0,10,0,10,"Muito Baixo"
"24",1200013,"Acrelândia (AC)",5,383,0,388,"Médio Baixo"
"25",1200054,"Assis Brasil (AC)",64,185,0,249,"Médio Baixo"
"26",1200104,"Brasiléia (AC)",176,1005,0,1181,"Médio Alto"
"27",1200138,"Bujari (AC)",0,82,0,82,"Médio Baixo"
"28",1200179,"Capixaba (AC)",27,122,0,149,"Médio Baixo"
"29",1200252,"Epitaciolândia (AC)",111,508,0,619,"Médio Baixo"
"30",1200302,"Feijó (AC)",6,545,0,551,"Médio Baixo"
"31",1200344,"Manoel Urbano (AC)",0,165,0,165,"Médio Baixo"
"32",1200385,"Plácido de Castro (AC)",0,275,0,275,"Médio Baixo"
"33",1200401,"Rio Branco (AC)",91,3573,0,3664,"Médio Alto"
"34",1200427,"Rodrigues Alves (AC)",0,1,0,1,"Muito Baixo"
"35",1200435,"Santa Rosa do Purus (AC)",0,15,0,15,"Muito Baixo"
"36",1200450,"Senador Guiomard (AC)",0,2364,0,2364,"Médio Alto"
"37",1200500,"Sena Madureira (AC)",40,347,0,387,"Médio Baixo"
"38",1200609,"Tarauacá (AC)",0,191,0,191,"Médio Baixo"
"39",1200708,"Xapuri (AC)",370,1176,0,1546,"Médio Alto"
"40",1200807,"Porto Acre (AC)",2,5948,0,5950,"Médio Alto"
"41",1300144,"Apuí (AM)",0,252,0,252,"Médio Baixo"
"42",1300631,"Beruri (AM)",0,21,0,21,"Baixo"
"43",1300706,"Boca do Acre (AM)",18,182,0,200,"Médio Baixo"
"44",1300904,"Canutama (AM)",0,11,0,11,"Muito Baixo"
"45",1301209,"Coari (AM)",0,6,0,6,"Muito Baixo"
"46",1301308,"Codajás (AM)",0,1,0,1,"Muito Baixo"
"47",1301506,"Envira (AM)",13,240,0,253,"Médio Baixo"
"48",1301704,"Humaitá (AM)",0,30,0,30,"Baixo"
"49",1301803,"Ipixuna (AM)",0,54,0,54,"Médio Baixo"
"50",1302405,"Lábrea (AM)",0,62,0,62,"Médio Baixo"
"51",1302553,"Manaquiri (AM)",0,14,0,14,"Muito Baixo"
"52",1302702,"Manicoré (AM)",0,41,0,41,"Baixo"
"53",1302900,"Maués (AM)",0,1,0,1,"Muito Baixo"
"54",1304104,"Tapauá (AM)",0,26,0,26,"Baixo"
"55",1304203,"Tefé (AM)",0,9,0,9,"Muito Baixo"
