"","cod_muni","muni","royalties_cfh_energia_eletrica","class_royalties_cfh","royalties_cfem_mineracao","class_royalties_cfem_mineracao"
"1",1100189,"Pimenta Bueno (RO)",856196.28,"Médio Alto",292026.64,"Alto"
"2",1100205,"Porto Velho (RO)",61831180.32,"Muito Alto",855422.47,"Muito Alto"
"3",1100403,"Alto Paraíso (RO)",48380.67,"Baixo",2584.03,"Médio Baixo"
"4",1100809,"Candeias do Jamari (RO)",868928.17,"Médio Alto",88657.96,"Médio Alto"
"5",1100940,"Cujubim (RO)",4155.77,"Muito Baixo",50898.8,"Médio Alto"
"6",1101104,"Itapuã do Oeste (RO)",472296.89,"Médio Baixo",176246.81,"Alto"
"7",1303536,"Presidente Figueiredo (AM)",1742504.36,"Médio Alto",5689371.06,"Muito Alto"
"8",1304302,"Urucará (AM)",7745.28,"Muito Baixo",4606.17,"Médio Baixo"
"9",1500503,"Almeirim (PA)",1337628.8,"Médio Alto",8301.45,"Médio Baixo"
"10",1500602,"Altamira (PA)",13064921.62,"Muito Alto",48296.68,"Médio Alto"
"11",1501725,"Brasil Novo (PA)",6122.85,"Muito Baixo",52,"Muito Baixo"
"12",1501782,"Breu Branco (PA)",3827708.02,"Alto",2375.76,"Médio Baixo"
"13",1503093,"Goianésia do Pará (PA)",8771944.65,"Muito Alto",0,0
"14",1503705,"Itupiranga (PA)",2487777.36,"Alto",0,0
"15",1503754,"Jacareacanga (PA)",2659140.03,"Alto",12425.45,"Médio Baixo"
"16",1503804,"Jacundá (PA)",5500413.05,"Alto",1105.64,"Baixo"
"17",1504208,"Marabá (PA)",699757.64,"Médio Alto",59696105,"Muito Alto"
"18",1504752,"Mojuí dos Campos (PA)",390454.63,"Médio Baixo",0,0
"19",1504976,"Nova Ipixuna (PA)",2006121.82,"Alto",10977.4,"Médio Baixo"
"20",1505064,"Novo Repartimento (PA)",23148053.49,"Muito Alto",0,0
"21",1506807,"Santarém (PA)",36386.42,"Baixo",30044.98,"Médio Alto"
"22",1508100,"Tucuruí (PA)",9983551.66,"Muito Alto",2990.23,"Médio Baixo"
"23",1508357,"Vitória do Xingu (PA)",12636914.16,"Muito Alto",49.82,"Muito Baixo"
"24",1600238,"Ferreira Gomes (AP)",3899853.71,"Alto",46879.53,"Médio Alto"
"25",1600279,"Laranjal do Jari (AP)",1573030.84,"Médio Alto",2385.5,"Médio Baixo"
"26",1600535,"Porto Grande (AP)",733441.45,"Médio Alto",68595.47,"Médio Alto"
"27",1703008,"Babaçulândia (TO)",856942.23,"Médio Alto",16922.08,"Médio Baixo"
"28",1703073,"Barra do Ouro (TO)",432407.84,"Médio Baixo",0,0
"29",1703701,"Brejinho de Nazaré (TO)",271704.63,"Médio Baixo",0,0
"30",1706506,"Darcinópolis (TO)",353311.1,"Médio Baixo",0,0
"31",1707009,"Dianópolis (TO)",142885.15,"Baixo",26673.26,"Médio Alto"
"32",1707702,"Filadélfia (TO)",1035679.26,"Médio Alto",5771.31,"Médio Baixo"
"33",1709005,"Goiatins (TO)",135749.65,"Baixo",0,0
"34",1709807,"Ipueiras (TO)",145916.17,"Baixo",0,0
"35",1710904,"Itapiratins (TO)",137921.63,"Baixo",0,0
"36",1712009,"Lajeado (TO)",177706.38,"Médio Baixo",0,0
"37",1713205,"Miracema do Tocantins (TO)",443451.48,"Médio Baixo",3684.75,"Médio Baixo"
"38",1713601,"Monte do Carmo (TO)",6147.33,"Muito Baixo",0,0
"39",1713809,"Palmeiras do Tocantins (TO)",253580.36,"Médio Baixo",0,0
"40",1715259,"Novo Jardim (TO)",32458.68,"Baixo",8573.54,"Médio Baixo"
"41",1715705,"Palmeirante (TO)",230321.87,"Médio Baixo",17508.65,"Médio Alto"
"42",1715754,"Palmeirópolis (TO)",355885.94,"Médio Baixo",59126.69,"Médio Alto"
"43",1716208,"Paranã (TO)",1657889.02,"Médio Alto",0,0
"44",1716604,"Peixe (TO)",170264.75,"Médio Baixo",56355.55,"Médio Alto"
"45",1717909,"Ponte Alta do Tocantins (TO)",12192.23,"Muito Baixo",0,0
"46",1718204,"Porto Nacional (TO)",2084596.17,"Alto",4557.2,"Médio Baixo"
"47",1720259,"São Salvador do Tocantins (TO)",779779.34,"Médio Alto",0,0
"48",1721000,"Palmas (TO)",1068478.5,"Médio Alto",108382.81,"Alto"
"49",1721307,"Tupiratins (TO)",8054.46,"Muito Baixo",2175.53,"Baixo"
"50",2101806,"Benedito Leite (MA)",131117.64,"Baixo",0,0
"51",2102804,"Carolina (MA)",1868186.58,"Alto",0,0
"52",2104057,"Estreito (MA)",442091.34,"Médio Baixo",876.03,"Baixo"
"53",2107308,"Nova Iorque (MA)",662186.19,"Médio Alto",912.41,"Baixo"
"54",5100250,"Alta Floresta (MT)",129491.25,"Baixo",108011,"Alto"
"55",5101258,"Araputanga (MT)",28083.51,"Baixo",0,0
"56",5101407,"Aripuanã (MT)",2595122.18,"Alto",1538.97,"Baixo"
"57",5101704,"Barra do Bugres (MT)",808602.24,"Médio Alto",168581.42,"Alto"
"58",5103007,"Chapada dos Guimarães (MT)",1198346.89,"Médio Alto",351240.5,"Alto"
"59",5104500,"Indiavaí (MT)",607383.14,"Médio Baixo",0,0
"60",5104609,"Itiquira (MT)",2996139.19,"Alto",916.55,"Baixo"
"61",5105002,"Jauru (MT)",684217.62,"Médio Alto",0,0
"62",5105101,"Juara (MT)",27890.41,"Muito Baixo",7305.2,"Médio Baixo"
"63",5106208,"Nova Brasilândia (MT)",201701.14,"Médio Baixo",0,0
"64",5106299,"Paranaíta (MT)",12993621.78,"Muito Alto",90806.15,"Alto"
"65",5106752,"Pontes e Lacerda (MT)",507915.29,"Médio Baixo",750890.88,"Muito Alto"
