"","cod","nome_muni","uf","pib_per_capita_corrente_2017","ativ_maior_vab_2017","ativ_segundo_maior_vab_2017","ativ_terceiro_maior_vab_2017","ibge_gini_2010","class_pib_per_capita_2017","class_ibge_gini_2010"
"1",1100262,"Rio Crespo","RO",27767.17,"Pecuária, inclusive apoio à pecuária","Administração, defesa, educação e saúde públicas e seguridade social","Produção florestal, pesca e aquicultura",0.5783,"Alto","Médio Alto"
"2",1100338,"Nova Mamoré","RO",16372.8,"Pecuária, inclusive apoio à pecuária","Administração, defesa, educação e saúde públicas e seguridade social","Demais serviços",0.5357,"Médio Alto","Médio Baixo"
"3",1100601,"Cacaulândia","RO",21793.88,"Pecuária, inclusive apoio à pecuária","Administração, defesa, educação e saúde públicas e seguridade social","Demais serviços",0.5579,"Alto","Médio Baixo"
"4",1100700,"Campo Novo de Rondônia","RO",19092.23,"Pecuária, inclusive apoio à pecuária","Administração, defesa, educação e saúde públicas e seguridade social","Demais serviços",0.6705,"Médio Alto","Muito Alto"
"5",1100924,"Chupinguaia","RO",26504.59,"Pecuária, inclusive apoio à pecuária","Administração, defesa, educação e saúde públicas e seguridade social","Indústrias de transformação",0.4752,"Alto","Muito Baixo"
"6",1101005,"Governador Jorge Teixeira","RO",18740.83,"Pecuária, inclusive apoio à pecuária","Administração, defesa, educação e saúde públicas e seguridade social","Demais serviços",0.5571,"Médio Alto","Médio Baixo"
"7",1101435,"Nova União","RO",15638.4,"Pecuária, inclusive apoio à pecuária","Administração, defesa, educação e saúde públicas e seguridade social","Demais serviços",0.4665,"Médio Alto","Muito Baixo"
"8",1101450,"Parecis","RO",17343.07,"Pecuária, inclusive apoio à pecuária","Administração, defesa, educação e saúde públicas e seguridade social","Demais serviços",0.5315,"Médio Alto","Médio Baixo"
"9",1101468,"Pimenteiras do Oeste","RO",41089.77,"Pecuária, inclusive apoio à pecuária","Agricultura, inclusive apoio à agricultura e a pós colheita","Administração, defesa, educação e saúde públicas e seguridade social",0.4964,"Muito Alto","Baixo"
"10",1101492,"São Francisco do Guaporé","RO",17335.87,"Pecuária, inclusive apoio à pecuária","Administração, defesa, educação e saúde públicas e seguridade social","Demais serviços",0.5684,"Médio Alto","Médio Alto"
"11",1101559,"Teixeirópolis","RO",16916.36,"Pecuária, inclusive apoio à pecuária","Administração, defesa, educação e saúde públicas e seguridade social","Demais serviços",0.4346,"Médio Alto","Muito Baixo"
"12",1101609,"Theobroma","RO",16283.42,"Pecuária, inclusive apoio à pecuária","Administração, defesa, educação e saúde públicas e seguridade social","Demais serviços",0.5763,"Médio Alto","Médio Alto"
"13",1101807,"Vale do Paraíso","RO",17488.31,"Pecuária, inclusive apoio à pecuária","Administração, defesa, educação e saúde públicas e seguridade social","Demais serviços",0.5885,"Médio Alto","Médio Alto"
"14",1500347,"Água Azul do Norte","PA",16599.28,"Pecuária, inclusive apoio à pecuária","Indústrias de transformação","Administração, defesa, educação e saúde públicas e seguridade social",0.526,"Médio Alto","Médio Baixo"
"15",1501253,"Bannach","PA",23894.69,"Pecuária, inclusive apoio à pecuária","Administração, defesa, educação e saúde públicas e seguridade social","Demais serviços",0.6263,"Alto","Alto"
"16",1502764,"Cumaru do Norte","PA",21036.8,"Pecuária, inclusive apoio à pecuária","Administração, defesa, educação e saúde públicas e seguridade social","Agricultura, inclusive apoio à agricultura e a pós colheita",0.6175,"Alto","Alto"
"17",1505635,"Piçarra","PA",15892.13,"Pecuária, inclusive apoio à pecuária","Administração, defesa, educação e saúde públicas e seguridade social","Demais serviços",0.5264,"Médio Alto","Médio Baixo"
"18",1506583,"Santa Maria das Barreiras","PA",18020.91,"Pecuária, inclusive apoio à pecuária","Administração, defesa, educação e saúde públicas e seguridade social","Agricultura, inclusive apoio à agricultura e a pós colheita",0.5682,"Médio Alto","Médio Alto"
"19",1507300,"São Félix do Xingu","PA",11157.74,"Pecuária, inclusive apoio à pecuária","Administração, defesa, educação e saúde públicas e seguridade social","Demais serviços",0.6423,"Médio Baixo","Muito Alto"
"20",1507755,"Sapucaia","PA",18728.74,"Pecuária, inclusive apoio à pecuária","Administração, defesa, educação e saúde públicas e seguridade social","Demais serviços",0.5336,"Médio Alto","Médio Baixo"
"21",1702000,"Araguaçu","TO",21155.78,"Pecuária, inclusive apoio à pecuária","Administração, defesa, educação e saúde públicas e seguridade social","Demais serviços",0.512,"Alto","Baixo"
"22",1703057,"Bandeirantes do Tocantins","TO",19542.67,"Pecuária, inclusive apoio à pecuária","Administração, defesa, educação e saúde públicas e seguridade social","Demais serviços",0.5757,"Médio Alto","Médio Alto"
"23",1707306,"Dueré","TO",25916.04,"Pecuária, inclusive apoio à pecuária","Administração, defesa, educação e saúde públicas e seguridade social","Agricultura, inclusive apoio à agricultura e a pós colheita",0.5618,"Alto","Médio Alto"
"24",1711100,"Itaporã do Tocantins","TO",17394.34,"Pecuária, inclusive apoio à pecuária","Administração, defesa, educação e saúde públicas e seguridade social","Demais serviços",0.4449,"Médio Alto","Muito Baixo"
"25",1718840,"Sandolândia","TO",20240.37,"Pecuária, inclusive apoio à pecuária","Administração, defesa, educação e saúde públicas e seguridade social","Demais serviços",0.4861,"Médio Alto","Baixo"
"26",1100015,"Alta Floresta D'Oeste","RO",19611.75,"Administração, defesa, educação e saúde públicas e seguridade social","Pecuária, inclusive apoio à pecuária","Demais serviços",0.5893,"Médio Alto","Médio Alto"
"27",1100031,"Cabixi","RO",22315.8,"Administração, defesa, educação e saúde públicas e seguridade social","Pecuária, inclusive apoio à pecuária","Agricultura, inclusive apoio à agricultura e a pós colheita",0.5166,"Alto","Baixo"
"28",1100072,"Corumbiara","RO",38156.05,"Produção florestal, pesca e aquicultura","Pecuária, inclusive apoio à pecuária","Administração, defesa, educação e saúde públicas e seguridade social",0.4852,"Muito Alto","Baixo"
"29",1100080,"Costa Marques","RO",12413.35,"Administração, defesa, educação e saúde públicas e seguridade social","Pecuária, inclusive apoio à pecuária","Demais serviços",0.5239,"Médio Baixo","Médio Baixo"
"30",1100130,"Machadinho D'Oeste","RO",15724.6,"Administração, defesa, educação e saúde públicas e seguridade social","Pecuária, inclusive apoio à pecuária","Demais serviços",0.5596,"Médio Alto","Médio Baixo"
"31",1100254,"Presidente Médici","RO",18760.18,"Administração, defesa, educação e saúde públicas e seguridade social","Pecuária, inclusive apoio à pecuária","Demais serviços",0.5281,"Médio Alto","Médio Baixo"
"32",1100296,"Santa Luzia D'Oeste","RO",19347.7,"Administração, defesa, educação e saúde públicas e seguridade social","Pecuária, inclusive apoio à pecuária","Demais serviços",0.4972,"Médio Alto","Baixo"
"33",1100346,"Alvorada D'Oeste","RO",15685.89,"Administração, defesa, educação e saúde públicas e seguridade social","Pecuária, inclusive apoio à pecuária","Demais serviços",0.5355,"Médio Alto","Médio Baixo"
"34",1100403,"Alto Paraíso","RO",15288.98,"Administração, defesa, educação e saúde públicas e seguridade social","Pecuária, inclusive apoio à pecuária","Demais serviços",0.5417,"Médio Alto","Médio Baixo"
"35",1100452,"Buritis","RO",17063.65,"Administração, defesa, educação e saúde públicas e seguridade social","Pecuária, inclusive apoio à pecuária","Demais serviços",0.5017,"Médio Alto","Baixo"
"36",1100502,"Novo Horizonte do Oeste","RO",16744.93,"Administração, defesa, educação e saúde públicas e seguridade social","Pecuária, inclusive apoio à pecuária","Demais serviços",0.5214,"Médio Alto","Baixo"
"37",1100908,"Castanheiras","RO",31403.68,"Produção florestal, pesca e aquicultura","Pecuária, inclusive apoio à pecuária","Administração, defesa, educação e saúde públicas e seguridade social",0.4996,"Alto","Baixo"
