"","cod","nome_muni","uf","pib_per_capita_corrente_2017","ativ_maior_vab_2017","ativ_segundo_maior_vab_2017","ativ_terceiro_maior_vab_2017","ibge_gini_2010","class_pib_per_capita_2017","class_ibge_gini_2010"
"1",1100205,"Porto Velho","RO",31793.2,"Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação","Demais serviços","Administração, defesa, educação e saúde públicas e seguridade social",0.5745,"Alto","Médio Alto"
"2",1508100,"Tucuruí","PA",58455.08,"Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação","Administração, defesa, educação e saúde públicas e seguridade social","Demais serviços",0.5833,"Muito Alto","Médio Alto"
"3",1508357,"Vitória do Xingu","PA",209799.94,"Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação","Administração, defesa, educação e saúde públicas e seguridade social","Demais serviços",0.6065,"Muito Alto","Alto"
"4",1600238,"Ferreira Gomes","AP",68751.16,"Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação","Administração, defesa, educação e saúde públicas e seguridade social","Demais serviços",0.6006,"Muito Alto","Alto"
"5",1713205,"Miracema do Tocantins","TO",27317.54,"Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação","Administração, defesa, educação e saúde públicas e seguridade social","Demais serviços",0.557,"Alto","Médio Baixo"
"6",1716208,"Paranã","TO",20131.09,"Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação","Administração, defesa, educação e saúde públicas e seguridade social","Pecuária, inclusive apoio à pecuária",0.6539,"Médio Alto","Muito Alto"
"7",1716604,"Peixe","TO",46507.07,"Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação","Agricultura, inclusive apoio à agricultura e a pós colheita","Administração, defesa, educação e saúde públicas e seguridade social",0.6359,"Muito Alto","Alto"
"8",2104057,"Estreito","MA",18883.37,"Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação","Administração, defesa, educação e saúde públicas e seguridade social","Demais serviços",0.581,"Médio Alto","Médio Alto"
"9",2106755,"Miranda do Norte","MA",17151.67,"Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação","Administração, defesa, educação e saúde públicas e seguridade social","Demais serviços",0.4752,"Médio Alto","Muito Baixo"
"10",2110302,"Santo Antônio dos Lopes","MA",113447.66,"Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação","Administração, defesa, educação e saúde públicas e seguridade social","Demais serviços",0.583,"Muito Alto","Médio Alto"
"11",5101407,"Aripuanã","MT",33215.39,"Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação","Administração, defesa, educação e saúde públicas e seguridade social","Indústrias de transformação",0.5827,"Alto","Médio Alto"
"12",5104500,"Indiavaí","MT",21553.71,"Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação","Administração, defesa, educação e saúde públicas e seguridade social","Demais serviços",0.4804,"Alto","Muito Baixo"
"13",5105002,"Jauru","MT",31177.02,"Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação","Administração, defesa, educação e saúde públicas e seguridade social","Demais serviços",0.5551,"Alto","Médio Baixo"
"14",5106299,"Paranaíta","MT",54834.07,"Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação","Administração, defesa, educação e saúde públicas e seguridade social","Demais serviços",0.5396,"Muito Alto","Médio Baixo"
"15",1100809,"Candeias do Jamari","RO",21299.57,"Administração, defesa, educação e saúde públicas e seguridade social","Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação","Demais serviços",0.4762,"Alto","Muito Baixo"
"16",1600279,"Laranjal do Jari","AP",17885.4,"Administração, defesa, educação e saúde públicas e seguridade social","Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação","Demais serviços",0.5606,"Médio Alto","Médio Baixo"
"17",5104609,"Itiquira","MT",85498.25,"Agricultura, inclusive apoio à agricultura e a pós colheita","Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação","Comércio e reparação de veículos automotores e motocicletas",0.4991,"Muito Alto","Baixo"
"18",5105200,"Juscimeira","MT",26618.94,"Administração, defesa, educação e saúde públicas e seguridade social","Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação","Agricultura, inclusive apoio à agricultura e a pós colheita",0.4427,"Alto","Muito Baixo"
"19",5106182,"Nova Lacerda","MT",28157.26,"Administração, defesa, educação e saúde públicas e seguridade social","Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação","Agricultura, inclusive apoio à agricultura e a pós colheita",0.5304,"Alto","Médio Baixo"
"20",1600055,"Serra do Navio","AP",13857.88,"Administração, defesa, educação e saúde públicas e seguridade social","Demais serviços","Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação",0.6192,"Médio Alto","Alto"
"21",5103007,"Chapada dos Guimarães","MT",36407.06,"Produção florestal, pesca e aquicultura","Demais serviços","Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação",0.5477,"Muito Alto","Médio Baixo"
