"id_municipio","muni","acessos_2019","pop_resid_estimada_2019","acessos_cada_100_mil_hab","class_acessos_100mil_2019"
1100015,"Alta Floresta D'Oeste (RO)",77305,22945,336914.360427108,"Médio Alto"
1100023,"Ariquemes (RO)",853053,107863,790867.118474361,"Muito Alto"
1100031,"Cabixi (RO)",27496,5312,517620.481927711,"Alto"
1100049,"Cacoal (RO)",709272,85359,830928.197378132,"Muito Alto"
1100056,"Cerejeiras (RO)",127712,16323,782405.195123445,"Muito Alto"
1100064,"Colorado do Oeste (RO)",118259,15882,744610.250598161,"Muito Alto"
1100072,"Corumbiara (RO)",34303,7391,464118.522527398,"Médio Alto"
1100080,"Costa Marques (RO)",57813,18331,315383.77611696,"Médio Baixo"
1100098,"Espigão D'Oeste (RO)",114601,32374,353990.856860444,"Médio Alto"
1100106,"Guajará-Mirim (RO)",236768,46174,512773.422272274,"Alto"
1100114,"Jaru (RO)",425949,51775,822692.419121197,"Muito Alto"
1100122,"Ji-Paraná (RO)",728157,128969,564598.469399623,"Alto"
1100130,"Machadinho D'Oeste (RO)",89074,39991,222735.115400965,"Baixo"
1100148,"Nova Brasilândia D'Oeste (RO)",62410,20474,304825.632509524,"Médio Baixo"
1100155,"Ouro Preto do Oeste (RO)",308457,36035,855992.784792563,"Muito Alto"
1100189,"Pimenta Bueno (RO)",292354,36660,797474.08619749,"Muito Alto"
1100205,"Porto Velho (RO)",7092224,529544,1339307.78178962,"Muito Alto"
1100254,"Presidente Médici (RO)",132452,18986,697629.832508164,"Muito Alto"
1100262,"Rio Crespo (RO)",14685,3764,390143.464399575,"Médio Alto"
1100288,"Rolim de Moura (RO)",407949,55058,740944.095317665,"Muito Alto"
1100296,"Santa Luzia D'Oeste (RO)",30246,6495,465681.29330254,"Médio Alto"
1100304,"Vilhena (RO)",704502,99854,705532.076832175,"Muito Alto"
1100320,"São Miguel do Guaporé (RO)",113859,23005,494931.536622473,"Médio Alto"
1100338,"Nova Mamoré (RO)",104788,30583,342634.797109505,"Médio Alto"
1100346,"Alvorada D'Oeste (RO)",57254,14411,397293.73395323,"Médio Alto"
1100379,"Alto Alegre dos Parecis (RO)",48434,13241,365788.082471112,"Médio Alto"
1100403,"Alto Paraíso (RO)",75321,21428,351507.373529961,"Médio Alto"
1100452,"Buritis (RO)",233893,39654,589834.569022041,"Alto"
1100502,"Novo Horizonte do Oeste (RO)",27679,8538,324185.992035606,"Médio Baixo"
1100601,"Cacaulândia (RO)",24920,6230,4e+05,"Médio Alto"
1100700,"Campo Novo de Rondônia (RO)",30692,14139,217073.343235024,"Baixo"
1100809,"Candeias do Jamari (RO)",129357,26693,484610.197430038,"Médio Alto"
1100908,"Castanheiras (RO)",11218,3052,367562.254259502,"Médio Alto"
1100924,"Chupinguaia (RO)",47267,11182,422706.134859596,"Médio Alto"
1100940,"Cujubim (RO)",87284,25215,346159.032322031,"Médio Alto"
1101005,"Governador Jorge Teixeira (RO)",31428,7767,404634.994206257,"Médio Alto"
1101104,"Itapuã do Oeste (RO)",52880,10458,505641.614075349,"Alto"
1101203,"Ministro Andreazza (RO)",33293,9660,344648.033126294,"Médio Alto"
1101302,"Mirante da Serra (RO)",66135,10947,604138.120032886,"Alto"
1101401,"Monte Negro (RO)",72472,15852,457178.904870048,"Médio Alto"
1101435,"Nova União (RO)",27531,6970,394992.826398852,"Médio Alto"
1101450,"Parecis (RO)",16939,6074,278877.181429042,"Médio Baixo"
1101468,"Pimenteiras do Oeste (RO)",10939,2169,504333.794375288,"Alto"
1101476,"Primavera de Rondônia (RO)",13224,2856,463025.210084034,"Médio Alto"
1101484,"São Felipe D'Oeste (RO)",3725,5172,72022.4284609435,"Muito Baixo"
1101492,"São Francisco do Guaporé (RO)",98239,20266,484747.853547814,"Médio Alto"
1101500,"Seringueiras (RO)",57631,11856,486091.430499325,"Médio Alto"
1101559,"Teixeirópolis (RO)",19429,4308,450998.142989786,"Médio Alto"
1101609,"Theobroma (RO)",32082,10444,307181.156644964,"Médio Baixo"
1101708,"Urupá (RO)",66258,11467,577814.598412837,"Alto"
1101757,"Vale do Anari (RO)",37534,11204,335005.355230275,"Médio Baixo"
1101807,"Vale do Paraíso (RO)",33428,6825,489787.545787546,"Médio Alto"
1200013,"Acrelândia (AC)",64065,15256,419933.141059255,"Médio Alto"
1200054,"Assis Brasil (AC)",29607,7417,399177.565053256,"Médio Alto"
1200104,"Brasiléia (AC)",143964,26278,547849.912474313,"Alto"
1200138,"Bujari (AC)",29896,10266,291213.71517631,"Médio Baixo"
1200179,"Capixaba (AC)",35009,11733,298380.635813517,"Médio Baixo"
1200203,"Cruzeiro do Sul (AC)",548448,88376,620584.774146827,"Alto"
1200252,"Epitaciolândia (AC)",91345,18411,496143.60979849,"Médio Alto"
1200302,"Feijó (AC)",131337,34780,377622.19666475,"Médio Alto"
1200328,"Jordão (AC)",17974,8317,216111.578694241,"Baixo"
1200336,"Mâncio Lima (AC)",60805,18977,320414.185593086,"Médio Baixo"
1200344,"Manoel Urbano (AC)",34636,9459,366169.785389576,"Médio Alto"
1200351,"Marechal Thaumaturgo (AC)",40773,18867,216107.489266974,"Baixo"
1200385,"Plácido de Castro (AC)",93043,19761,470841.556601387,"Médio Alto"
1200393,"Porto Walter (AC)",29397,11982,245343.014521783,"Médio Baixo"
1200401,"Rio Branco (AC)",4453646,407319,1093404.92341384,"Muito Alto"
1200427,"Rodrigues Alves (AC)",40193,18930,212324.352879028,"Baixo"
1200435,"Santa Rosa do Purus (AC)",13362,6540,204311.926605505,"Baixo"
1200450,"Senador Guiomard (AC)",126660,23024,550121.612230716,"Alto"
1200500,"Sena Madureira (AC)",199595,45848,435340.690978887,"Médio Alto"
1200609,"Tarauacá (AC)",163156,42567,383292.221674067,"Médio Alto"
1200708,"Xapuri (AC)",76225,19323,394478.083113388,"Médio Alto"
1200807,"Porto Acre (AC)",36498,18504,197243.839169909,"Baixo"
